test_subject,n,i,train_subjects
s01,1,0,['s13']
s01,1,1,['s15']
s01,1,2,['s15']
s01,1,3,['s22']
s01,1,4,['s05']
s01,1,5,['s20']
s01,1,6,['s11']
s01,1,7,['s05']
s01,1,8,['s18']
s01,1,9,['s23']
s01,2,0,"['s08', 's16']"
s01,2,1,"['s14', 's17']"
s01,2,2,"['s21', 's17']"
s01,2,3,"['s21', 's22']"
s01,2,4,"['s06', 's14']"
s01,2,5,"['s18', 's11']"
s01,2,6,"['s22', 's11']"
s01,2,7,"['s11', 's18']"
s01,2,8,"['s10', 's09']"
s01,2,9,"['s14', 's06']"
s01,3,0,"['s09', 's08', 's10']"
s01,3,1,"['s17', 's12', 's06']"
s01,3,2,"['s23', 's07', 's10']"
s01,3,3,"['s20', 's14', 's08']"
s01,3,4,"['s18', 's08', 's03']"
s01,3,5,"['s06', 's11', 's22']"
s01,3,6,"['s18', 's19', 's04']"
s01,3,7,"['s08', 's10', 's15']"
s01,3,8,"['s18', 's17', 's14']"
s01,3,9,"['s05', 's11', 's17']"
s01,4,0,"['s22', 's12', 's14', 's18']"
s01,4,1,"['s17', 's02', 's14', 's22']"
s01,4,2,"['s16', 's09', 's14', 's07']"
s01,4,3,"['s17', 's07', 's22', 's15']"
s01,4,4,"['s07', 's19', 's17', 's05']"
s01,4,5,"['s10', 's07', 's20', 's03']"
s01,4,6,"['s22', 's19', 's07', 's16']"
s01,4,7,"['s07', 's23', 's04', 's05']"
s01,4,8,"['s18', 's22', 's10', 's19']"
s01,4,9,"['s19', 's15', 's08', 's12']"
s01,5,0,"['s14', 's12', 's22', 's17', 's09']"
s01,5,1,"['s10', 's20', 's13', 's09', 's06']"
s01,5,2,"['s08', 's18', 's13', 's10', 's19']"
s01,5,3,"['s13', 's14', 's02', 's12', 's03']"
s01,5,4,"['s15', 's13', 's06', 's11', 's07']"
s01,5,5,"['s13', 's04', 's23', 's18', 's19']"
s01,5,6,"['s15', 's11', 's10', 's23', 's21']"
s01,5,7,"['s22', 's08', 's20', 's17', 's07']"
s01,5,8,"['s22', 's17', 's02', 's19', 's13']"
s01,5,9,"['s02', 's14', 's07', 's18', 's22']"
s01,6,0,"['s06', 's05', 's04', 's15', 's19', 's07']"
s01,6,1,"['s14', 's23', 's10', 's17', 's15', 's04']"
s01,6,2,"['s21', 's19', 's06', 's04', 's17', 's10']"
s01,6,3,"['s13', 's18', 's19', 's20', 's09', 's17']"
s01,6,4,"['s09', 's03', 's21', 's11', 's13', 's16']"
s01,6,5,"['s15', 's18', 's09', 's12', 's13', 's02']"
s01,6,6,"['s03', 's05', 's16', 's22', 's15', 's09']"
s01,6,7,"['s16', 's19', 's22', 's23', 's04', 's17']"
s01,6,8,"['s10', 's18', 's23', 's05', 's14', 's04']"
s01,6,9,"['s05', 's15', 's21', 's10', 's13', 's08']"
s01,7,0,"['s12', 's17', 's18', 's20', 's22', 's04', 's19']"
s01,7,1,"['s20', 's14', 's03', 's09', 's22', 's21', 's15']"
s01,7,2,"['s12', 's02', 's11', 's06', 's22', 's09', 's15']"
s01,7,3,"['s02', 's20', 's04', 's17', 's06', 's23', 's13']"
s01,7,4,"['s10', 's02', 's04', 's19', 's21', 's07', 's17']"
